,1,2,3,4,5,6
0,2,8,9,13,28,31
1,5,10,11,23,35,37
2,2,4,18,22,29,30
3,7,8,11,17,18,34
4,10,11,27,28,30,31
5,7,9,17,29,30,33
6,7,12,13,27,34,36
7,7,11,12,21,36,37
8,1,16,17,20,21,27
9,8,9,19,24,29,34
10,7,8,9,19,21,33
11,1,13,14,23,29,33
12,8,14,18,21,28,30
13,5,6,8,13,25,27
14,9,11,18,24,25,27
15,1,4,16,26,29,35
16,4,13,19,22,26,31
17,4,9,13,14,15,37
18,9,16,19,23,24,35
19,9,20,21,24,27,31
20,4,5,12,22,27,29
21,1,3,5,19,31,36
22,15,16,24,25,26,32
23,4,7,15,30,31,35
24,2,7,8,9,10,25
25,11,13,16,20,29,37
26,2,3,14,31,35,37
27,7,12,16,26,28,30
28,2,3,9,10,16,20
29,4,10,14,29,33,35
30,1,8,11,25,31,33
31,4,10,11,26,29,37
32,5,12,14,23,25,29
33,2,5,9,11,26,29
34,2,4,12,22,27,36
35,1,3,4,19,20,34
36,3,10,20,31,32,36
37,2,5,9,10,14,35
38,8,11,22,25,30,32
39,8,12,14,25,29,32
40,3,12,13,16,17,25
41,5,11,22,23,31,36
42,5,14,18,21,32,34
43,14,15,19,23,24,30
44,1,5,10,12,20,32
45,3,9,15,19,21,23
46,9,11,12,19,21,30
47,4,5,15,17,25,31
48,3,7,12,13,23,35
49,10,22,24,27,29,34
50,3,7,11,21,35,36
51,7,10,11,22,31,32
52,2,10,12,19,23,34
53,12,27,29,30,33,34
54,5,6,10,17,24,27
55,5,6,12,14,34,35
56,1,11,23,25,32,33
57,1,12,18,28,29,33
58,3,16,20,28,34,36
59,6,7,9,18,21,31
60,1,5,9,12,18,36
61,4,5,9,18,19,35
62,1,26,28,31,34,36
63,10,14,17,20,31,36
64,2,6,29,30,31,32
65,4,8,17,20,24,32
66,6,7,14,27,31,32
67,6,17,24,25,30,34
68,6,8,13,20,34,35
69,6,11,15,16,17,22
70,6,14,20,28,33,34
71,7,11,30,31,33,35
72,13,22,25,26,33,37
73,3,6,14,19,34,35
74,4,16,26,29,35,37
75,5,18,19,23,24,35
76,4,5,6,25,26,28
77,2,5,9,12,15,16
78,11,17,25,26,27,32
79,10,13,16,29,30,35
80,3,12,13,16,29,34
81,4,9,10,15,26,27
82,4,9,17,25,33,37
83,4,5,6,31,33,36
84,6,9,22,25,31,34
85,2,3,4,5,11,15
86,2,5,15,24,32,33
87,12,13,22,25,28,36
88,5,7,10,16,31,32
89,5,11,13,19,32,37
90,5,7,13,17,25,32
91,3,15,17,21,26,29
92,5,16,18,26,29,35
93,2,12,14,15,33,37
94,5,6,11,18,19,35
95,9,17,20,21,30,33
96,6,21,24,27,28,37
97,4,10,11,13,20,32
98,1,15,17,29,33,34
99,9,11,14,20,31,33
100,6,7,15,19,27,33
101,2,7,10,13,25,34
102,2,7,14,17,19,28
103,3,20,23,25,32,35
104,1,9,13,20,22,36
105,9,12,17,18,20,36
